[2024-01-27 22:17:20.636] [wxbot] [info] function init Initialization completed
[2024-01-27 22:17:27.330] [wxbot] [info] [InitBaseAddress] Association completed
[2024-01-27 22:17:27.331] [wxbot] [error] [CheckLogin] faild 7
[2024-01-27 22:17:28.338] [wxbot] [error] [CheckLogin] faild 2
[2024-01-27 22:17:29.339] [wxbot] [error] [CheckLogin] faild 2
[2024-01-27 22:17:30.342] [wxbot] [error] [CheckLogin] faild 2
[2024-01-27 22:17:31.343] [wxbot] [error] [CheckLogin] faild 2
[2024-01-27 22:17:32.354] [wxbot] [error] [CheckLogin] faild 2
[2024-01-27 22:17:33.357] [wxbot] [error] [CheckLogin] faild 2
[2024-01-27 22:17:34.369] [wxbot] [error] [CheckLogin] faild 2
[2024-01-27 22:17:35.381] [wxbot] [error] [CheckLogin] faild 2
[2024-01-27 22:17:36.383] [wxbot] [error] [CheckLogin] faild 2
[2024-01-27 22:17:37.398] [wxbot] [error] [CheckLogin] faild 2
[2024-01-27 22:17:38.399] [wxbot] [error] [CheckLogin] faild 2
[2024-01-27 22:17:39.400] [wxbot] [error] [CheckLogin] faild 2
